"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/23/2025","AQS","500070007","1","2.6","ug/m3 LC","14","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"03/26/2025","AQS","500070007","1","1.7","ug/m3 LC","9","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"03/29/2025","AQS","500070007","1","2.4","ug/m3 LC","13","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/01/2025","AQS","500070007","1","1.7","ug/m3 LC","9","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/04/2025","AQS","500070007","1","1.1","ug/m3 LC","6","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/07/2025","AQS","500070007","1","1.8","ug/m3 LC","10","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/10/2025","AQS","500070007","1","2.9","ug/m3 LC","16","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/13/2025","AQS","500070007","1","2.9","ug/m3 LC","16","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/16/2025","AQS","500070007","1","0.7","ug/m3 LC","4","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/19/2025","AQS","500070007","1","8","ug/m3 LC","44","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/22/2025","AQS","500070007","1","3.5","ug/m3 LC","19","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/25/2025","AQS","500070007","1","4.5","ug/m3 LC","25","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"04/28/2025","AQS","500070007","1","2.2","ug/m3 LC","12","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/01/2025","AQS","500070007","1","2.1","ug/m3 LC","12","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/04/2025","AQS","500070007","1","1.7","ug/m3 LC","9","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/07/2025","AQS","500070007","1","2","ug/m3 LC","11","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/10/2025","AQS","500070007","1","1.3","ug/m3 LC","7","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/13/2025","AQS","500070007","1","3.9","ug/m3 LC","22","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/16/2025","AQS","500070007","1","4.3","ug/m3 LC","24","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/19/2025","AQS","500070007","1","1.4","ug/m3 LC","8","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/22/2025","AQS","500070007","1","1.7","ug/m3 LC","9","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/25/2025","AQS","500070007","1","2.3","ug/m3 LC","13","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/28/2025","AQS","500070007","1","4.8","ug/m3 LC","27","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"05/31/2025","AQS","500070007","1","2.6","ug/m3 LC","14","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/03/2025","AQS","500070007","1","3.5","ug/m3 LC","19","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/06/2025","AQS","500070007","1","10.2","ug/m3 LC","53","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/09/2025","AQS","500070007","1","15.1","ug/m3 LC","62","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/12/2025","AQS","500070007","1","13.5","ug/m3 LC","59","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/15/2025","AQS","500070007","1","7.6","ug/m3 LC","42","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/18/2025","AQS","500070007","1","2.6","ug/m3 LC","14","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"06/21/2025","AQS","500070007","1","5.5","ug/m3 LC","31","PROCTOR MAPLE RESEARCH CTR","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
